Feature,Mean_Abs_SHAP,Importance_%
d,1.0206945099229343,23.03
loc,0.7946864012079495,17.93
t,0.7253019922381976,16.36
uniq_Op,0.41792644699195464,9.43
i,0.35101523844290133,7.92
l,0.2722854184095411,6.14
iv(g),0.21298911158985834,4.81
v(g),0.20336021456653283,4.59
lOBlank,0.19038640318851113,4.3
lOComment,0.15740864790949016,3.55
locCodeAndComment,0.0460037283677907,1.04
ev(g),0.040125840790325884,0.91
